HHNR,gesl,f40120,f81300,A_X,A_Y,alter,f81400,noga_08,sprache,f40800_01,f41100_01,nation,f40920,WP,f41000a,f41000b,f41000c,A_BFS,f42100e,f41600_01a,f41600_01b,f41600_01c,f41001a,f41001b,f41001c,f20400a
458,2,4,2,2675185,1156137,22,83,2,3,-99,3,1,100.0,0,32,3,32,8,1,2,2,2,13,13,32,9
459,2,3,3,2645536,1168512,46,0,14,4,-99,3,1,100.0,4,11,11,32,9,3,1,1,1,3,32,1,3
460,2,4,1,2665526,1234950,74,95,93,2,3,2,4,100.0,6,13,22,2,0,3,1,2,2,13,11,13,0
461,2,7,3,2641497,1205379,12,0,58,1,-99,2,1,100.0,3,1,22,13,4,1,2,1,2,12,22,11,9
462,2,7,2,2622068,1219158,19,81,58,2,2,3,2,100.0,1,32,22,22,9,3,2,1,1,11,22,1,6
463,2,5,3,2651412,1249391,14,0,88,2,1,2,8,100.0,7,13,22,2,7,2,2,2,2,22,2,11,5
464,1,6,2,2611059,1249859,84,12,8,4,4,1,9,100.0,2,3,1,13,8,2,1,2,2,11,22,13,1
465,2,4,3,2608447,1236614,36,0,86,2,1,3,6,100.0,6,2,12,11,5,3,2,2,2,32,11,13,6
466,2,6,3,2684861,1222391,73,0,88,3,5,3,7,100.0,5,22,11,13,1,3,1,1,2,1,3,22,0
467,2,5,2,2619919,1235784,81,52,3,1,1,1,6,100.0,5,3,12,32,4,2,2,2,1,2,13,32,0
468,2,9,3,2697012,1186991,38,0,65,1,-99,3,7,100.0,4,11,2,11,5,2,1,1,1,22,1,1,8
469,1,4,2,2635823,1206834,69,61,14,1,1,3,5,100.0,8,12,11,2,0,2,1,2,2,13,2,32,5
470,2,9,1,2608623,1200637,16,38,55,1,4,2,6,100.0,0,2,3,32,9,3,1,1,2,32,1,2,3
471,1,2,2,2664094,1152076,53,52,98,4,4,1,0,100.0,8,3,3,13,0,1,2,2,2,13,13,12,8
472,2,1,3,2634856,1234760,21,0,63,3,3,2,7,100.0,6,1,3,2,5,1,2,1,1,3,12,2,7
473,2,5,3,2683908,1196767,69,0,13,1,3,2,4,100.0,3,2,22,13,1,3,1,2,2,13,22,1,2
474,1,8,1,2602946,1214386,34,63,9,3,4,3,6,100.0,7,11,2,1,4,1,2,1,2,32,2,2,3
475,1,2,3,2656332,1208545,28,0,62,2,1,1,2,100.0,1,2,11,1,6,2,1,2,2,22,11,12,0
476,2,3,2,2611495,1170461,59,84,10,4,5,3,5,100.0,3,13,2,1,1,2,2,1,2,2,12,11,4
477,1,5,3,2671698,1248659,50,0,68,2,5,2,6,100.0,6,2,3,32,3,2,2,2,1,1,12,32,6
478,2,9,2,2678885,1218288,56,14,90,2,4,1,3,100.0,5,1,1,32,3,1,2,2,1,2,22,11,0
479,1,5,2,2615106,1156011,56,76,50,3,4,3,5,100.0,8,2,11,32,3,2,2,2,2,12,1,12,2
480,1,6,1,2602024,1185276,37,89,46,3,-99,2,5,100.0,1,3,13,2,9,3,1,1,2,11,2,12,4
481,1,5,3,2628182,1217849,24,0,62,1,2,3,8,100.0,1,12,11,32,9,2,1,1,2,12,11,2,0
482,2,9,1,2661582,1239918,86,91,63,4,1,3,6,100.0,7,2,1,12,5,2,2,1,1,11,12,13,5
483,1,2,1,2621666,1173489,85,91,13,1,2,2,8,100.0,9,22,13,32,8,2,1,2,2,1,2,11,0
484,2,6,3,2661268,1197251,49,0,87,2,5,1,9,100.0,2,3,2,22,4,3,1,1,2,13,22,2,2
485,2,7,1,2645831,1155822,17,29,53,1,2,1,7,100.0,9,1,22,12,9,1,1,1,1,3,11,1,7
486,2,9,3,2614310,1229872,29,0,1,2,5,3,9,100.0,4,3,12,32,5,1,1,2,2,11,3,11,9
487,2,2,3,2663200,1162010,79,0,49,3,2,2,8,100.0,8,11,2,13,9,2,2,2,2,32,32,22,1
488,2,6,2,2627400,1226501,14,57,8,1,1,2,4,100.0,7,22,11,32,6,2,1,2,1,2,13,13,2
489,2,4,2,2609608,1207976,67,31,43,4,-99,1,6,100.0,4,2,1,11,1,3,2,2,1,2,1,2,3
490,1,5,1,2657105,1197237,87,93,3,1,3,1,0,100.0,3,3,11,3,6,1,2,1,2,1,3,3,4
491,2,9,2,2682152,1239641,74,86,97,4,4,1,2,100.0,7,3,22,13,8,2,2,1,1,3,13,22,4
492,2,9,1,2682809,1249955,49,56,95,3,5,1,5,100.0,9,32,1,12,6,2,1,2,2,1,2,22,6
493,1,7,2,2659386,1161880,51,11,97,1,1,3,1,100.0,3,12,2,2,5,2,1,2,2,12,11,2,3
494,2,4,2,2600030,1220006,12,70,47,3,1,3,7,100.0,8,3,1,13,5,1,1,1,2,2,22,1,0
495,1,7,3,2698471,1184072,49,0,63,1,5,2,5,100.0,1,22,2,1,1,3,1,2,1,3,22,1,5
496,2,3,1,2673691,1179937,35,69,65,3,5,3,4,100.0,5,11,3,11,5,3,2,1,1,12,1,32,2
497,2,8,3,2611056,1234681,10,0,67,2,2,3,7,100.0,2,22,11,22,3,2,1,2,1,11,12,12,1
498,2,6,2,2679529,1156853,89,1,43,3,3,1,7,100.0,3,32,2,3,8,3,2,1,2,11,22,32,8
499,1,1,3,2620047,1220354,34,0,49,2,2,2,1,100.0,8,2,13,3,3,2,1,1,1,32,2,32,6
500,2,4,2,2646398,1219890,87,73,82,1,5,3,0,100.0,4,13,11,11,1,2,2,2,2,3,3,3,7
501,2,3,2,2686677,1231813,63,1,82,1,2,3,3,100.0,3,2,13,12,8,3,1,1,2,13,11,12,0
502,2,5,3,2684556,1169734,67,0,64,1,1,3,8,100.0,9,12,11,13,4,3,1,2,1,11,3,3,9
503,2,9,1,2687055,1189949,38,0,58,3,4,3,3,100.0,2,1,12,13,1,1,1,2,2,13,13,32,1
504,1,8,3,2668363,1159513,82,0,69,1,5,1,8,100.0,7,12,22,11,9,2,1,1,2,1,22,3,2
505,2,2,3,2680698,1233746,31,0,62,1,-99,1,8,100.0,6,12,3,32,2,3,1,1,2,11,11,12,5
506,1,3,1,2680095,1220882,70,84,91,1,4,1,2,100.0,2,3,32,12,6,1,2,1,1,13,32,2,4
507,1,8,2,2623922,1190199,45,24,7,3,4,2,5,100.0,9,3,22,13,8,2,1,1,1,11,3,2,3
508,2,7,1,2679612,1190659,22,13,13,2,3,3,1,100.0,7,2,13,2,6,2,2,1,1,22,11,32,1
509,1,5,2,2612915,1204023,30,88,86,2,2,1,9,100.0,2,11,32,11,7,3,2,1,1,3,32,3,4
510,2,8,1,2615713,1159653,13,18,97,4,5,3,6,100.0,0,22,12,32,2,1,2,1,1,32,11,12,7
511,1,8,2,2661400,1151149,22,47,94,4,-99,2,0,100.0,1,12,32,12,2,1,2,1,2,3,3,22,6
512,2,2,3,2684146,1230053,13,0,50,4,5,3,4,100.0,3,22,32,32,4,3,2,2,1,2,13,32,0
513,2,8,1,2632771,1197810,87,18,89,3,4,3,0,100.0,2,13,12,2,2,1,2,2,1,13,32,3,3
514,1,4,2,2691424,1180315,66,15,45,3,4,3,1,100.0,3,32,12,11,8,1,1,1,1,1,12,2,7
515,2,7,1,2628527,1175303,79,94,4,3,-99,2,3,100.0,2,32,13,22,3,1,1,1,2,3,22,32,9
516,2,7,3,2659474,1245810,31,0,10,1,1,2,1,100.0,2,22,12,32,5,3,2,1,1,11,13,12,4
517,1,7,2,2692321,1158550,67,33,46,3,4,3,7,100.0,7,2,1,12,7,1,1,2,1,13,11,32,9
518,2,3,1,2697415,1160792,50,33,96,3,4,1,5,100.0,6,12,12,32,2,3,2,2,1,11,1,11,1
519,2,4,1,2617150,1218874,87,66,65,1,5,3,2,100.0,0,2,32,22,6,3,1,2,2,12,11,11,3
520,1,8,1,2675020,1187774,73,84,90,1,4,2,4,100.0,5,12,32,13,9,1,2,2,2,3,3,2,9
521,2,4,3,2624257,1245309,33,0,61,4,4,1,6,100.0,3,22,11,11,8,1,2,2,2,13,2,3,9
522,2,1,3,2623415,1217958,81,0,85,2,3,1,1,100.0,1,11,3,2,8,3,1,1,2,13,13,2,8
523,1,3,3,2649629,1224501,50,0,8,4,4,2,3,100.0,7,1,12,22,4,1,1,1,2,11,32,32,6
524,1,5,3,2689944,1202623,56,0,4,4,3,2,1,100.0,2,3,11,13,6,1,1,1,1,13,2,22,2
525,1,5,3,2610247,1237406,31,0,49,3,4,1,4,100.0,6,1,2,12,3,1,2,2,1,32,2,12,6
526,1,8,1,2648456,1158335,11,94,62,1,4,3,4,100.0,3,3,22,13,1,3,2,1,1,12,32,12,1
527,2,2,3,2640470,1182535,23,0,88,1,-99,3,6,100.0,8,1,32,13,4,2,1,2,2,3,32,32,4
528,2,1,2,2645070,1200747,41,82,4,1,-99,1,3,100.0,1,2,13,11,2,3,1,2,2,22,13,1,4
529,2,2,2,2658869,1194849,23,67,91,1,4,3,1,100.0,6,13,1,2,5,3,1,1,1,22,3,2,0
530,2,4,3,2629066,1241023,77,0,88,3,4,3,8,100.0,2,11,1,1,6,2,1,2,2,12,13,2,9
531,1,7,2,2613262,1230189,22,41,93,1,5,3,2,100.0,0,13,12,13,3,2,1,1,2,12,11,1,7
532,2,7,2,2653121,1225989,87,88,14,3,2,3,3,100.0,8,3,1,1,3,1,2,1,2,32,11,11,5
533,1,5,1,2614723,1178037,78,45,63,2,2,1,4,100.0,2,22,3,32,6,3,1,2,1,2,32,3,7
534,1,6,1,2671360,1165158,54,43,45,3,1,1,1,100.0,7,32,2,3,2,1,2,2,2,1,12,2,1
535,1,3,2,2660851,1191540,64,88,61,4,-99,1,3,100.0,1,1,32,11,1,2,1,1,1,13,13,11,6
536,2,4,3,2639333,1223748,19,0,47,1,4,3,9,100.0,9,13,32,1,9,2,1,2,1,1,3,3,3
537,2,4,1,2609079,1187977,64,2,51,2,4,1,2,100.0,9,3,32,2,1,2,2,2,2,1,1,22,6
538,1,5,1,2656798,1216570,38,23,3,3,2,2,0,100.0,1,32,32,12,5,3,1,2,1,32,32,22,5
539,2,5,2,2643251,1242036,75,24,51,2,1,3,1,100.0,1,1,1,32,6,2,2,1,1,11,12,22,5
540,2,5,3,2654188,1225824,37,0,52,3,3,2,8,100.0,8,22,3,22,7,2,2,2,2,3,2,13,8
541,1,3,1,2689625,1179738,70,21,58,3,3,1,4,100.0,0,12,3,22,4,1,2,1,2,32,11,1,5
542,1,9,1,2693027,1215483,41,21,12,1,-99,3,8,100.0,9,32,2,11,7,1,1,1,1,13,32,13,5
543,2,7,3,2639383,1213030,88,0,42,3,2,3,7,100.0,1,13,22,2,9,2,2,1,1,1,22,12,8
544,2,8,3,2667425,1230357,83,0,84,2,4,1,8,100.0,7,11,12,3,3,3,1,1,1,13,22,22,7
545,2,9,3,2658460,1191235,76,0,90,1,5,3,3,100.0,1,32,22,1,6,3,2,2,1,2,12,3,4
546,2,6,3,2670876,1159439,77,0,7,1,1,1,2,100.0,9,11,3,13,1,1,1,2,2,32,3,1,7
547,2,5,3,2669534,1167530,29,0,87,2,5,3,4,100.0,9,22,12,2,5,1,2,2,1,1,22,32,4
548,1,5,2,2647466,1202124,71,62,60,4,-99,3,8,100.0,3,32,22,22,8,3,1,1,1,11,11,12,8
549,2,1,1,2650927,1150483,85,99,82,2,4,3,1,100.0,7,11,12,22,6,1,1,2,1,22,3,12,9
550,1,9,3,2666484,1158589,21,0,52,4,3,1,7,100.0,1,1,1,11,9,2,2,2,1,12,11,22,4
551,1,6,3,2666222,1219999,43,0,43,1,4,3,0,100.0,3,1,22,1,0,1,1,2,2,2,22,3,4
552,2,2,3,2688447,1215660,65,0,11,3,5,3,3,100.0,3,22,13,2,0,3,2,2,2,22,32,11,3
553,1,2,3,2654426,1171805,61,0,91,1,1,1,8,100.0,0,11,1,32,5,3,2,1,1,2,3,32,5
554,1,3,1,2666834,1238188,55,100,12,2,4,3,1,100.0,7,11,32,13,7,2,1,1,1,11,22,11,8
555,2,7,1,2696055,1187054,58,29,69,1,3,3,7,100.0,5,2,12,3,2,3,2,1,1,1,32,32,1
556,1,6,1,2695754,1179241,58,97,42,4,2,2,3,100.0,9,32,13,22,9,2,2,1,2,2,13,2,2
557,2,5,3,2651745,1157240,29,0,4,3,1,1,0,100.0,6,1,22,1,5,2,1,1,2,2,11,3,6
558,1,4,1,2653043,1168310,28,56,97,1,5,3,0,100.0,3,22,3,3,3,3,1,2,1,1,12,3,9
559,1,6,1,2643769,1192476,42,86,97,4,3,3,4,100.0,6,13,1,11,7,3,2,2,2,13,2,3,8
560,1,3,2,2698296,1219983,73,81,92,4,1,1,9,100.0,5,1,2,1,7,3,2,1,2,13,11,2,3
561,1,8,1,2688663,1214665,28,8,98,3,2,3,1,100.0,1,12,11,13,4,3,2,2,2,2,3,2,1
562,2,5,3,2623651,1200584,85,0,93,4,4,1,2,100.0,0,1,1,3,4,1,1,1,2,3,2,12,9
563,2,9,1,2604263,1222522,10,62,45,2,-99,2,8,100.0,5,12,12,11,5,1,1,2,1,22,2,12,2
564,1,3,1,2663543,1202351,85,43,84,3,3,3,8,100.0,1,2,2,1,9,2,1,2,2,22,1,1,8
565,1,5,3,2673572,1244270,47,0,62,1,2,3,0,100.0,1,32,11,32,4,3,1,1,1,13,12,3,3
566,2,7,2,2611153,1172151,16,9,68,4,5,2,6,100.0,0,12,13,13,1,2,1,2,1,22,3,11,2
567,2,7,2,2688290,1233667,21,9,87,1,1,3,2,100.0,9,2,12,3,3,3,2,2,1,32,11,32,3
568,2,3,2,2631894,1236914,87,35,56,1,5,2,1,100.0,1,22,3,1,3,1,1,1,1,2,3,13,7
569,2,8,2,2641662,1236682,78,5,68,4,-99,1,8,100.0,1,11,32,1,3,3,1,1,2,3,3,2,3
570,1,5,2,2691616,1192926,81,30,55,1,5,3,7,100.0,5,11,3,32,4,2,1,1,1,22,11,13,5
571,1,6,3,2633024,1165707,23,0,35,2,5,3,6,100.0,5,12,3,2,4,1,2,2,2,11,22,22,8
572,1,1,1,2610052,1167884,49,41,59,2,5,1,3,100.0,5,1,1,2,1,3,2,2,1,11,13,3,9
573,1,2,2,2623270,1237097,58,38,12,1,2,2,9,100.0,8,13,22,1,1,2,1,1,1,11,22,11,2
574,2,8,2,2693192,1159685,41,20,2,2,5,2,9,100.0,6,1,12,13,5,3,2,2,2,32,1,13,5
575,1,1,1,2607611,1239006,18,72,96,2,4,2,5,100.0,4,13,11,1,4,2,2,1,1,2,2,3,6
576,2,7,3,2677022,1193729,80,0,9,3,1,2,5,100.0,8,1,11,11,5,1,2,1,2,3,32,12,8
577,1,3,1,2604881,1175556,28,67,11,4,-99,1,4,100.0,5,3,22,3,7,1,1,2,2,11,32,13,1
578,2,2,3,2639889,1183998,48,0,53,3,5,3,5,100.0,3,22,13,1,9,3,2,1,1,13,32,11,7
579,1,6,3,2608612,1211357,76,0,9,3,5,1,0,100.0,7,22,3,13,7,1,2,1,1,2,11,22,2
580,1,5,2,2684934,1200983,85,2,13,1,-99,2,0,100.0,2,13,1,32,6,3,1,2,2,12,22,22,1
581,1,2,2,2675322,1180413,50,68,51,1,-99,1,4,100.0,1,1,1,3,8,1,1,1,2,11,13,11,6
582,2,3,1,2638191,1231247,27,96,97,3,5,3,0,100.0,0,2,13,1,8,2,1,1,1,11,11,3,7
583,1,3,1,2616790,1153322,58,43,14,4,3,2,3,100.0,6,1,2,22,8,3,2,1,1,22,13,32,7
584,1,5,3,2681523,1168333,74,0,58,2,4,3,9,100.0,7,1,3,12,8,2,1,2,2,32,12,12,8
585,2,8,1,2653735,1211876,72,55,41,2,-99,2,6,100.0,2,11,1,11,1,3,2,1,2,2,1,1,3
586,2,7,1,2613923,1164870,37,34,66,2,3,1,4,100.0,9,22,1,22,0,2,1,1,2,11,22,1,7
587,1,7,2,2637369,1224029,65,68,95,4,3,2,3,100.0,4,2,1,32,5,2,1,1,1,32,1,32,2
588,2,2,1,2605436,1155200,78,11,61,3,2,3,2,100.0,2,22,22,3,0,1,1,1,1,22,1,22,3
589,1,5,3,2620514,1181952,73,0,6,1,3,2,4,100.0,1,13,3,11,7,1,1,1,2,32,32,3,2
590,1,2,3,2621612,1212486,63,0,64,3,4,1,1,100.0,6,12,12,32,9,3,2,1,1,32,3,12,6
591,1,6,1,2677223,1157383,67,43,64,2,-99,3,6,100.0,6,32,11,3,3,2,2,2,1,22,11,11,0
592,1,9,3,2644263,1157730,40,0,92,4,-99,3,0,100.0,9,13,11,22,2,1,2,2,2,2,2,1,8
593,1,3,3,2648915,1218948,68,0,69,2,1,3,4,100.0,0,3,13,1,2,3,2,2,2,12,11,2,8
594,2,3,3,2651173,1159724,47,0,87,4,-99,3,2,100.0,4,3,22,3,8,2,1,1,1,13,12,12,6
595,2,7,2,2629724,1166711,28,11,8,3,5,2,5,100.0,1,11,22,12,0,2,1,2,1,12,1,12,8
596,2,4,2,2650848,1213315,89,3,90,4,2,2,1,100.0,5,2,12,22,3,3,1,1,2,32,11,22,7
597,1,2,2,2644119,1195354,27,41,92,1,4,2,3,100.0,1,32,12,13,8,1,2,2,1,22,32,2,8
598,2,8,3,2663967,1179434,50,0,65,3,3,3,9,100.0,4,3,1,1,7,3,2,1,1,3,32,22,6
599,2,1,1,2692178,1173478,69,63,68,4,1,2,1,100.0,9,11,11,3,3,3,1,2,2,13,3,13,8
600,1,3,1,2634562,1204341,76,90,92,3,5,1,9,100.0,8,22,32,11,6,2,2,1,1,11,1,32,0
601,2,3,3,2615924,1209062,29,0,7,2,-99,1,3,100.0,9,13,13,11,7,3,1,2,1,12,32,3,5
602,1,8,2,2646611,1159986,88,2,43,1,4,1,7,100.0,4,13,32,13,2,1,2,2,1,11,32,13,3
603,2,7,2,2663623,1217532,52,25,61,1,5,1,7,100.0,2,1,3,2,8,2,2,2,2,22,11,12,1
604,2,4,2,2640219,1206739,52,2,51,3,3,1,9,100.0,0,32,22,3,2,3,2,1,1,22,13,22,0
605,1,6,3,2626537,1234870,37,0,49,4,-99,2,5,100.0,7,11,32,32,9,1,1,1,1,1,3,22,5
606,2,4,3,2630221,1170175,60,0,41,2,3,3,7,100.0,2,22,32,3,7,2,1,1,1,22,1,2,0
607,1,3,1,2612290,1169080,52,41,56,3,1,2,1,100.0,0,13,2,32,5,1,1,2,1,22,32,3,1
608,2,9,2,2681914,1211053,74,56,84,4,2,3,1,100.0,6,2,32,32,6,1,2,1,1,1,13,13,4
609,1,5,1,2679378,1229508,85,72,92,3,4,3,3,100.0,7,32,12,32,7,1,2,1,2,2,3,12,1
610,1,9,3,2671909,1219755,13,0,59,1,2,2,4,100.0,4,13,1,11,8,1,1,2,2,3,13,22,3
611,1,7,1,2622449,1227590,21,41,95,1,1,1,3,100.0,1,22,22,32,7,3,2,2,2,13,12,11,7
612,1,2,2,2692896,1205141,67,1,93,1,4,3,8,100.0,8,22,22,2,5,3,2,2,2,11,12,1,1
613,2,1,1,2624145,1203462,12,96,99,1,-99,1,8,100.0,6,3,12,3,3,1,1,2,2,2,1,2,6
614,2,8,2,2625047,1224578,53,33,35,2,-99,3,8,100.0,6,13,3,13,8,2,2,1,2,11,3,13,7
615,2,9,3,2609424,1231407,33,0,10,2,1,3,8,100.0,4,1,11,1,0,2,2,2,2,32,1,1,6
616,2,6,3,2607563,1161535,19,0,11,1,5,3,8,100.0,5,1,2,13,1,1,2,1,2,12,32,1,2
617,1,5,1,2692888,1185838,19,33,69,1,-99,1,6,100.0,2,12,3,3,5,3,2,2,2,12,2,12,6
618,1,9,1,2684049,1215912,46,55,2,2,2,1,6,100.0,5,11,11,32,9,3,1,1,2,1,2,12,6
619,1,9,1,2691902,1249055,70,82,41,3,-99,2,6,100.0,0,32,3,32,0,1,1,2,1,13,2,22,7
620,1,7,3,2699659,1213856,39,0,82,4,2,3,8,100.0,8,11,1,13,7,3,1,1,1,12,22,22,7
621,1,7,1,2628814,1180687,60,7,60,1,3,3,6,100.0,5,11,1,32,0,3,1,2,1,11,3,3,6
622,1,5,3,2642226,1205969,73,0,35,1,3,3,7,100.0,9,3,3,32,2,2,2,2,1,12,11,32,7
623,2,5,1,2631593,1157706,26,56,62,1,2,2,9,100.0,8,3,12,12,2,1,1,1,1,12,3,3,6
624,2,7,3,2631291,1158388,14,0,96,1,-99,1,7,100.0,8,11,32,11,1,2,2,1,1,13,32,32,9
625,1,6,3,2699752,1222774,33,0,4,1,3,2,2,100.0,3,22,12,12,5,1,1,1,2,11,3,32,2
626,2,4,3,2696379,1160345,82,0,94,2,4,3,2,100.0,6,12,11,22,7,3,2,2,2,3,3,11,6
627,1,1,2,2675647,1155400,60,44,12,1,3,2,5,100.0,8,3,32,13,4,1,1,2,1,13,12,2,0
628,2,1,2,2655436,1238859,49,11,63,2,1,2,9,100.0,3,13,1,3,4,2,2,2,1,13,13,22,9
629,2,9,2,2601377,1246689,77,21,13,2,4,1,3,100.0,1,12,22,11,6,3,1,2,2,2,2,3,3
630,2,2,2,2623031,1241495,42,73,7,4,1,1,0,100.0,1,11,3,3,3,1,1,1,2,12,12,32,8
631,2,8,1,2611821,1158128,82,5,7,3,1,3,4,100.0,6,1,32,11,0,3,1,1,2,12,1,1,7
632,2,2,1,2635348,1199028,42,6,56,1,3,3,0,100.0,6,32,11,11,0,1,2,1,1,11,12,11,6
633,2,5,3,2672905,1174364,66,0,91,4,5,2,2,100.0,0,3,12,2,1,1,1,1,2,22,11,12,0
634,2,8,2,2619478,1219360,23,53,11,2,4,3,9,100.0,6,13,3,22,8,1,1,1,2,11,3,2,7
635,2,4,1,2606864,1197226,67,54,58,4,-99,1,3,100.0,8,11,11,22,3,1,1,1,2,3,13,2,6
636,1,9,1,2663191,1173588,83,70,84,4,2,3,6,100.0,2,2,32,3,7,2,1,2,2,3,32,32,6
637,2,4,1,2634076,1208585,22,26,98,1,1,2,3,100.0,3,13,32,3,6,1,2,1,1,11,3,3,9
638,1,5,3,2656253,1191619,76,0,3,4,1,3,1,100.0,5,1,2,2,6,3,2,1,2,32,11,12,1
639,1,9,1,2691640,1165904,35,17,56,3,1,1,1,100.0,3,22,12,13,7,2,2,2,2,32,11,13,5
640,1,7,2,2607264,1180420,22,64,13,4,5,2,0,100.0,0,13,11,11,4,3,1,2,1,13,2,32,7
641,2,2,3,2647553,1171002,10,0,53,3,2,3,4,100.0,6,2,11,12,8,2,1,1,1,1,32,2,9
642,2,7,3,2684345,1201339,51,0,53,2,3,3,8,100.0,3,32,1,22,8,3,1,1,2,3,3,3,6
643,1,8,1,2651342,1242614,71,32,45,1,1,3,2,100.0,8,3,11,32,5,1,2,1,2,11,2,12,5
644,2,3,3,2679981,1154623,40,0,92,2,5,3,4,100.0,6,3,2,13,0,1,1,1,1,3,22,11,8
645,2,1,1,2667114,1153224,23,60,14,2,-99,3,1,100.0,7,1,12,22,3,2,2,1,2,32,12,12,4
646,1,4,3,2601564,1245661,81,0,56,2,5,1,4,100.0,7,3,13,3,3,2,2,1,2,32,13,11,5
647,1,1,2,2641693,1198460,15,71,46,4,-99,3,8,100.0,6,13,12,2,9,2,1,1,2,32,32,32,2
648,2,1,3,2693772,1202295,59,0,64,4,-99,3,1,100.0,3,13,11,13,7,3,2,2,1,3,1,1,9
649,2,1,2,2632283,1163417,49,51,67,1,4,1,5,100.0,4,32,2,1,1,1,2,2,1,3,32,32,9
650,2,8,3,2632359,1168410,81,0,65,2,-99,1,0,100.0,2,2,22,12,8,3,1,2,1,3,3,22,3
651,2,4,3,2693014,1187412,85,0,95,2,4,2,4,100.0,9,13,3,13,0,1,1,2,2,11,32,32,0
652,1,9,2,2627160,1212561,71,73,62,4,5,1,1,100.0,2,32,2,11,5,2,2,1,1,11,1,2,2
653,2,5,3,2616945,1168430,56,0,69,3,2,1,0,100.0,4,13,12,1,9,2,2,1,2,13,2,3,2
654,1,7,1,2622196,1185700,20,83,43,2,5,1,4,100.0,4,12,1,2,1,1,2,2,2,2,13,11,1
655,1,1,1,2668181,1150834,69,33,43,3,-99,3,0,100.0,7,22,13,13,2,2,2,2,1,13,11,13,7
656,2,8,1,2672625,1209851,66,41,88,3,5,1,8,100.0,1,1,3,13,6,3,1,2,1,32,32,12,4
657,1,8,1,2688871,1229467,56,78,86,1,5,3,3,100.0,2,1,11,3,1,3,2,1,1,3,1,1,6
658,2,5,2,2620668,1221016,21,98,91,2,5,2,5,100.0,8,22,12,3,2,2,1,2,1,13,12,12,8
659,2,6,3,2648814,1176055,53,0,51,2,5,3,8,100.0,4,2,12,12,3,3,1,2,2,32,12,22,0
660,1,8,3,2699621,1189975,72,0,56,2,-99,3,1,100.0,6,2,12,1,2,1,2,2,2,22,12,13,2
661,2,4,2,2687767,1164594,20,18,51,4,-99,1,7,100.0,0,32,11,12,0,2,1,2,1,22,13,22,7
662,2,4,2,2677458,1234628,45,43,11,2,5,1,4,100.0,8,3,11,32,3,3,2,2,1,22,2,3,2
663,1,9,2,2689862,1244094,32,57,9,4,2,1,3,100.0,4,2,3,3,0,3,2,1,1,32,11,22,3
664,1,9,3,2662546,1176225,18,0,46,3,-99,1,0,100.0,9,3,22,11,5,3,2,2,2,1,12,13,8
665,1,4,1,2605262,1166281,35,60,61,2,2,1,0,100.0,8,12,2,32,8,1,2,2,2,3,22,11,1
666,1,4,3,2653941,1175029,50,0,1,4,1,2,3,100.0,0,11,2,3,8,1,1,2,2,22,12,2,2
667,1,1,1,2697148,1246090,85,14,60,2,1,3,7,100.0,6,22,3,12,7,2,2,2,2,1,22,3,0
668,1,6,3,2673669,1196061,79,0,66,2,3,1,0,100.0,9,32,13,1,5,3,2,1,2,22,32,12,3
669,1,7,3,2644651,1246898,69,0,12,1,3,3,3,100.0,2,12,2,11,8,3,2,2,1,3,13,11,8
670,1,2,3,2634384,1234848,70,0,92,3,1,3,1,100.0,6,13,11,22,5,1,1,1,1,22,3,13,5
671,1,2,2,2672960,1170864,69,60,3,3,5,2,8,100.0,0,11,12,32,4,2,1,2,1,22,32,22,9
672,1,4,2,2645869,1189311,84,51,95,3,3,2,3,100.0,0,3,3,22,2,3,2,1,2,13,22,12,4
673,1,4,3,2652795,1241590,74,0,64,1,4,3,1,100.0,8,32,13,22,9,2,2,1,1,1,3,12,9
674,1,9,2,2697488,1168530,83,45,13,3,3,2,2,100.0,3,22,2,13,9,1,2,2,1,3,22,12,0
675,2,4,3,2634221,1201155,62,0,63,3,5,1,6,100.0,6,1,2,2,7,3,2,2,2,3,2,11,5
676,2,6,2,2672718,1161277,48,57,56,4,2,2,3,100.0,6,13,32,2,0,1,1,1,2,32,2,1,7
677,2,9,3,2637978,1184331,12,0,95,3,5,2,2,100.0,2,3,13,22,4,1,2,1,2,32,11,22,5
678,2,8,1,2644885,1249011,49,34,11,1,5,2,8,100.0,5,11,22,12,2,3,2,1,1,32,22,13,4
679,1,9,1,2683765,1228619,56,23,52,1,4,1,2,100.0,5,22,32,11,7,3,2,2,2,12,2,2,9
680,2,6,3,2670559,1208414,72,0,61,3,1,1,0,100.0,7,13,1,3,2,1,1,2,1,12,3,2,3
681,2,1,2,2646034,1230610,64,35,86,1,5,2,3,100.0,2,11,2,2,5,1,2,1,2,11,11,32,9
682,2,8,3,2607223,1211798,22,0,66,2,1,3,8,100.0,8,1,2,12,9,3,1,1,1,1,32,22,4
683,2,8,2,2694271,1218032,76,67,93,1,4,2,7,100.0,4,11,1,32,4,3,2,1,2,11,32,3,2
684,2,1,3,2610602,1155821,45,0,45,3,1,1,0,100.0,2,1,11,32,5,3,2,2,2,1,22,2,8
685,2,5,2,2635584,1185863,66,4,47,3,1,1,0,100.0,9,1,32,11,2,2,1,1,2,3,11,3,1
686,1,1,2,2634478,1224980,65,87,99,4,4,1,6,100.0,8,1,1,13,4,2,2,1,1,12,11,13,1
687,1,7,1,2680685,1215597,89,86,99,3,5,2,9,100.0,3,11,2,22,2,1,1,1,1,1,22,32,0
