HHNR,gesl,HAUSB,f81300,A_X,A_Y,alter,f81400,noga_08,sprache,f40800_01,f41100_01,nation,f40900,f40901_02,f40903,WP,A_BFS,f42100e,f41610a,f41610b,f41610c,f41000a,f20400a,f41000b,f41000c,f41001a,f41001b,f41001c
443,2,19,3,2663197,1196379,32,0,7,2,1,2,6,0,3,6,7,0,2,1,1,1,2,2,12,11,13,11,13
444,2,4,3,2683423,1195586,37,0,58,1,3,1,5,1,3,8,6,3,1,2,1,1,32,2,13,3,13,2,22
445,2,16,1,2640875,1182258,50,92,58,1,3,1,4,2,7,0,5,8,3,1,2,1,2,3,12,12,22,22,2
446,1,18,1,2664151,1196303,49,9,3,1,-99,1,3,1,3,1,0,4,1,1,1,2,1,9,32,1,32,12,1
447,1,3,1,2695972,1240135,41,54,5,1,2,3,0,3,5,3,1,2,3,2,1,2,32,6,22,12,13,22,2
448,1,11,1,2639400,1165901,10,13,47,1,2,1,6,4,8,5,6,9,1,2,2,2,12,6,12,1,13,11,13
449,1,3,2,2678921,1241740,65,98,4,4,4,2,1,1,5,3,0,0,3,2,1,2,12,9,22,11,3,3,22
450,1,3,1,2634818,1187108,70,76,92,1,4,3,2,1,4,8,7,0,1,2,2,1,32,8,3,11,32,1,12
451,1,10,1,2625424,1174922,58,3,86,2,1,1,4,6,7,4,9,2,3,1,1,2,11,8,22,22,32,2,2
452,2,14,3,2634756,1176896,31,0,58,1,1,2,6,1,7,2,5,9,1,1,1,2,2,0,2,11,1,12,13
453,1,7,2,2664365,1214022,28,33,67,1,4,3,1,4,7,4,5,2,3,1,1,1,32,9,32,11,32,13,11
454,1,9,2,2672916,1158741,76,16,6,1,4,2,0,5,7,6,7,7,3,1,1,1,1,5,22,11,1,22,11
455,1,8,1,2656674,1159741,55,8,3,3,5,1,8,6,5,6,1,6,1,1,2,1,2,5,11,2,3,12,32
456,1,12,1,2668612,1221644,24,69,63,2,4,3,7,3,9,8,7,3,1,2,2,2,11,6,11,11,12,12,12
457,2,18,1,2648957,1182022,11,52,13,2,1,1,7,8,0,7,6,3,2,2,2,1,1,0,2,11,22,11,11
458,1,6,2,2612553,1191848,35,94,98,3,4,3,4,8,4,3,1,1,1,1,1,2,2,2,2,3,13,3,2
459,1,18,3,2685875,1188307,46,0,8,1,-99,3,9,5,5,0,4,3,2,1,2,1,3,1,2,3,3,12,11
460,1,15,3,2676334,1221227,27,0,47,4,3,2,3,3,8,1,3,2,2,2,2,2,11,1,2,1,13,13,1
461,1,3,1,2684000,1158683,17,2,97,3,4,3,4,4,4,7,6,1,1,2,1,1,13,1,3,1,32,11,1
462,1,10,3,2609998,1171953,88,0,50,2,2,1,3,3,6,4,5,5,1,1,2,2,1,1,12,11,32,1,13
463,1,15,2,2697492,1162119,37,60,5,2,3,3,5,8,4,4,6,9,2,2,1,2,12,2,3,32,1,12,11
464,2,1,1,2628999,1239160,27,63,53,3,5,2,7,8,3,4,9,2,3,2,2,1,2,0,12,13,11,13,2
465,1,5,3,2637808,1186379,43,0,90,4,3,1,7,7,5,5,4,5,3,2,2,2,32,7,3,32,13,32,22
466,2,5,3,2692828,1196570,17,0,97,1,-99,3,2,2,4,1,3,1,2,1,1,1,11,8,2,1,3,3,1
467,2,4,3,2614875,1216572,74,0,8,4,2,1,4,2,1,0,1,4,2,1,2,1,1,8,1,22,32,3,11
468,2,11,2,2612509,1193206,10,14,4,3,1,1,1,3,0,8,9,3,1,2,2,1,13,0,22,32,1,3,22
469,1,3,2,2610525,1204532,58,49,59,1,-99,2,2,3,2,5,5,5,1,1,2,1,32,4,12,1,22,32,32
470,1,18,3,2600668,1226740,59,0,82,1,1,3,2,3,4,5,8,9,1,2,1,2,12,7,2,3,13,1,11
471,1,13,2,2604054,1175318,78,31,1,2,-99,3,4,0,7,4,9,8,3,1,2,1,12,5,12,11,3,22,11
472,2,13,3,2685006,1194341,62,0,92,2,3,3,2,6,8,0,9,2,3,2,1,1,32,7,2,13,22,22,2
473,2,5,1,2664649,1210399,48,70,98,2,3,2,7,0,1,5,7,5,1,1,1,1,2,2,1,13,12,3,22
474,1,14,2,2677113,1168286,21,24,90,4,5,1,7,0,7,0,8,5,2,1,1,2,3,0,1,12,2,1,11
475,2,11,1,2681454,1241567,30,54,42,1,-99,2,4,3,6,7,8,8,3,2,2,2,22,4,22,13,1,32,3
476,1,8,2,2628399,1153431,19,76,60,3,-99,1,5,6,1,7,5,8,1,2,1,1,12,3,2,22,22,32,13
477,1,2,2,2677728,1202468,67,3,4,1,1,2,4,4,6,2,1,1,1,1,1,2,12,7,12,2,12,3,22
478,1,15,1,2605952,1183195,10,59,68,3,1,2,4,9,6,0,2,1,2,2,1,2,13,6,11,12,32,3,1
479,1,7,3,2602904,1204917,77,0,35,3,2,1,0,7,6,8,5,1,3,2,2,2,12,6,13,32,1,32,2
480,1,8,3,2613226,1158952,43,0,53,3,3,1,6,6,0,9,3,4,1,1,1,2,11,9,11,22,3,2,1
481,2,10,1,2636865,1191789,65,14,55,4,-99,2,6,4,5,0,0,1,1,1,1,2,3,4,32,12,3,2,3
482,2,19,3,2621721,1154461,36,0,90,3,-99,2,5,3,2,9,3,8,2,2,2,1,2,8,22,1,22,22,32
483,1,19,1,2605843,1227972,85,10,92,3,5,2,9,8,0,9,3,7,1,2,2,1,3,2,12,12,12,2,3
484,2,3,1,2694618,1186085,47,6,99,3,3,2,2,4,1,7,8,0,2,1,2,2,32,6,2,13,11,12,32
485,1,15,1,2639449,1163977,89,67,52,2,1,1,7,1,6,5,2,7,3,1,1,2,22,2,1,13,32,3,11
486,2,2,1,2678576,1218055,47,74,62,1,1,3,6,4,2,6,7,4,1,1,1,1,11,7,3,13,32,2,3
487,1,7,2,2670513,1174606,14,41,50,3,2,1,2,1,9,9,3,3,2,2,1,1,22,4,12,11,13,3,11
488,1,3,2,2685084,1206406,34,96,49,2,4,2,4,1,7,2,7,8,1,2,1,1,11,4,11,11,2,2,2
489,2,5,1,2615133,1220864,57,67,90,4,5,3,6,1,2,2,4,8,1,1,2,1,22,8,1,11,11,12,32
490,2,12,1,2620978,1211717,69,73,41,2,-99,1,3,9,1,7,2,6,3,2,1,2,13,4,3,32,11,13,1
491,2,10,3,2668917,1168696,35,0,82,1,5,1,3,1,2,8,6,0,2,2,1,1,1,9,11,13,2,2,12
492,2,8,2,2670830,1173464,23,22,10,4,4,3,5,2,6,6,8,8,3,2,1,1,3,2,3,12,22,13,13
493,1,13,2,2690418,1159202,13,2,56,3,-99,3,6,5,6,6,1,0,3,1,1,1,32,9,11,32,22,11,13
494,1,5,3,2601627,1216142,37,0,58,4,3,2,3,3,9,1,5,9,1,2,2,1,2,3,32,11,13,11,3
495,1,19,3,2696856,1205659,11,0,64,4,5,2,6,0,6,5,8,6,2,1,2,2,3,1,11,32,11,32,2
496,2,11,3,2618953,1175341,55,0,97,3,1,2,2,7,1,6,4,1,1,2,2,2,1,4,11,22,22,12,1
497,1,16,1,2646957,1191431,43,25,63,3,4,3,0,2,4,0,5,5,1,2,2,1,2,9,32,1,3,2,13
498,2,17,1,2604632,1173986,18,17,98,2,2,2,8,2,4,8,7,2,3,1,2,1,13,2,3,13,22,2,13
499,1,9,1,2696603,1161148,89,51,88,2,-99,2,6,0,9,0,0,2,2,2,1,2,3,2,13,2,22,12,2
500,1,5,1,2602125,1162882,89,73,52,2,4,3,3,8,5,3,0,8,2,1,1,2,1,5,13,3,11,22,12
501,2,15,2,2621841,1223885,30,43,45,1,-99,1,6,1,4,5,8,6,3,2,1,1,1,5,1,22,3,22,3
502,2,2,3,2658184,1232070,85,0,42,3,1,3,0,5,7,5,6,7,1,2,2,2,32,8,22,2,12,3,22
503,2,18,1,2624763,1222431,66,52,63,4,2,1,3,4,5,7,8,0,3,1,1,1,1,5,22,32,1,11,11
504,2,1,1,2697680,1216303,35,29,56,3,-99,1,5,7,8,1,2,2,3,1,1,2,11,0,13,22,22,3,13
505,2,11,3,2604219,1227433,69,0,88,4,2,2,2,4,3,7,8,1,1,1,2,1,12,8,22,2,12,13,22
506,1,13,3,2607823,1206637,19,0,7,3,3,1,3,5,1,3,6,1,1,2,1,1,32,9,11,32,3,1,1
507,1,5,3,2692392,1167724,75,0,61,2,2,2,8,3,0,6,3,2,3,1,1,2,1,9,32,2,11,22,11
508,1,9,2,2650933,1154084,39,24,94,3,3,2,9,5,5,5,7,4,1,2,2,1,1,5,13,3,22,12,11
509,2,4,1,2620646,1184555,46,19,53,3,4,3,5,1,4,2,2,4,2,1,2,1,12,8,2,3,13,22,12
510,1,9,2,2629883,1181621,75,86,88,3,3,3,3,3,1,8,2,7,1,2,1,1,1,8,11,13,12,12,22
511,2,3,2,2656200,1214503,41,79,41,1,5,3,4,2,2,3,9,8,3,1,2,1,2,2,2,13,2,22,1
512,2,15,3,2650354,1175546,23,0,58,1,-99,1,9,3,6,1,0,1,2,1,1,2,12,8,22,22,32,32,3
513,1,9,2,2663012,1205496,73,39,84,2,4,2,5,4,5,3,9,5,1,1,2,2,22,5,13,1,2,2,1
514,1,19,3,2629579,1153995,66,0,46,4,-99,1,3,8,2,2,0,4,1,1,2,1,1,9,11,1,32,22,3
515,2,12,3,2699648,1192248,71,0,89,4,2,2,0,0,6,4,7,2,3,2,1,1,12,5,32,2,1,13,2
516,2,6,3,2675032,1233971,52,0,43,2,1,2,5,8,3,0,3,5,2,1,1,2,11,3,2,22,2,1,12
517,2,8,1,2685599,1209360,15,31,4,2,2,3,5,6,7,7,1,2,2,2,1,2,32,1,13,12,32,22,11
518,2,9,1,2677223,1249961,43,74,14,2,4,3,4,7,2,0,0,9,1,1,2,2,13,7,11,22,11,32,12
519,1,8,3,2649854,1171511,14,0,99,3,5,1,7,9,6,2,6,1,2,1,2,2,3,2,13,12,32,1,13
520,1,3,1,2698048,1189738,32,47,62,2,5,1,3,1,0,3,6,2,2,2,2,1,1,6,12,11,11,1,32
521,2,15,2,2639393,1170504,54,89,89,4,-99,2,4,0,4,3,8,6,1,2,2,1,22,7,22,2,3,12,3
522,1,8,2,2652279,1235374,14,18,46,3,2,1,9,7,1,5,0,9,3,1,2,1,11,1,32,12,22,3,11
523,1,5,3,2606639,1168120,89,0,94,3,3,2,3,0,3,9,8,0,1,1,2,2,1,0,1,13,3,22,32
524,1,8,2,2601196,1207243,15,4,7,1,-99,3,0,9,9,7,2,3,2,1,1,2,11,1,22,3,3,22,13
525,1,16,3,2677270,1232776,57,0,90,4,1,2,7,0,9,7,3,1,2,2,1,2,32,2,12,12,13,12,3
526,1,13,2,2689831,1202932,37,47,49,3,2,2,8,5,9,5,2,0,2,2,2,2,3,9,2,12,13,2,12
527,1,8,2,2606688,1240228,75,21,14,1,2,1,4,4,7,7,9,3,3,2,2,2,11,0,3,32,12,32,2
528,1,12,1,2657334,1196252,13,85,69,2,1,1,0,1,4,9,5,2,2,1,1,2,1,4,1,11,11,22,3
529,2,17,2,2647025,1205911,64,66,11,4,3,2,4,8,4,9,6,1,3,2,1,1,32,4,22,11,2,3,2
530,1,1,1,2645690,1208158,59,20,67,4,1,2,4,4,7,2,1,6,1,2,1,2,11,1,3,1,11,32,11
531,2,15,2,2621229,1211342,89,62,42,3,4,1,3,6,3,5,7,3,3,1,2,2,11,5,32,1,1,13,11
532,2,15,3,2601138,1150157,34,0,91,3,5,2,0,3,3,5,7,2,3,1,2,1,12,1,12,13,12,2,2
533,2,6,3,2613309,1181093,40,0,69,2,2,3,2,4,4,2,7,0,3,1,1,1,12,0,32,3,3,22,13
534,1,6,2,2681823,1232339,67,23,66,4,5,3,8,2,8,0,8,2,2,2,2,2,1,8,13,11,3,3,1
535,2,15,3,2617165,1177665,75,0,65,2,4,2,3,2,0,6,4,7,1,2,2,1,1,9,32,11,32,2,13
536,2,8,2,2608505,1235942,64,63,85,2,2,1,1,9,1,0,8,9,1,1,2,2,13,5,13,11,13,22,12
537,1,18,3,2672962,1175819,32,0,59,1,-99,2,0,2,7,3,6,0,1,1,2,2,11,0,32,3,12,11,11
538,2,16,1,2678023,1187779,50,40,2,1,3,3,3,0,3,8,2,4,1,2,2,1,12,7,11,3,3,3,3
539,2,4,3,2680783,1170981,51,0,59,4,4,2,3,7,0,0,1,7,3,1,1,1,32,2,11,32,12,1,3
540,1,9,2,2652571,1185287,22,94,69,3,4,2,3,8,7,0,1,7,1,2,1,1,13,5,3,32,13,12,1
541,2,13,3,2638871,1186340,21,0,67,4,4,2,7,8,9,4,7,5,3,2,2,2,1,5,12,11,11,12,32
542,1,11,1,2685899,1205864,72,95,89,3,-99,3,2,9,0,2,4,8,3,2,1,2,1,6,32,22,11,11,22
543,2,18,1,2637504,1155926,27,38,84,1,4,1,3,8,4,4,9,6,3,1,1,1,12,4,22,32,11,1,2
544,1,4,1,2687897,1165744,50,75,90,2,1,1,7,6,9,8,7,8,1,1,1,1,13,0,12,22,3,32,22
545,1,16,2,2691054,1230500,53,84,8,2,2,2,2,3,0,5,1,3,2,2,1,1,1,0,11,1,1,32,2
546,1,11,3,2650062,1212262,14,0,64,4,4,1,9,8,1,6,5,4,2,2,1,2,12,5,2,32,3,1,11
547,1,7,3,2632290,1163429,60,0,12,3,1,1,9,9,4,5,8,5,1,2,1,2,2,1,11,22,13,11,32
548,1,18,3,2600783,1171265,85,0,99,4,3,2,3,1,7,5,3,9,2,2,2,2,12,3,32,12,3,13,12
549,2,10,2,2662515,1151177,26,86,42,2,5,3,8,2,2,9,7,4,3,1,2,2,13,0,1,2,1,32,3
550,1,12,2,2631883,1163855,67,27,85,4,-99,2,5,5,9,7,1,5,2,1,2,1,3,2,12,32,3,1,32
551,2,8,2,2675282,1150493,37,4,10,2,5,1,5,1,1,6,0,4,2,1,1,1,1,2,32,3,2,22,13
552,2,8,2,2602190,1169581,13,74,94,2,2,3,4,4,2,5,2,7,2,2,2,2,13,7,12,22,13,32,13
553,2,4,3,2697012,1168051,46,0,82,1,3,2,2,0,9,6,0,3,1,2,1,1,12,9,2,2,22,2,11
554,1,3,3,2668179,1201556,35,0,92,2,-99,3,8,9,7,5,1,4,1,2,2,1,1,5,1,22,32,22,22
555,1,10,1,2631242,1172384,40,7,88,2,1,2,5,4,4,9,5,2,1,2,2,1,32,6,2,13,12,13,3
556,1,19,2,2649728,1206075,21,69,45,2,1,1,0,5,0,4,3,5,2,1,2,1,32,1,11,3,12,11,12
557,1,15,3,2644530,1235497,28,0,86,3,-99,1,5,1,0,2,6,5,3,1,2,1,12,1,1,1,12,22,32
558,1,17,2,2667965,1166603,70,60,67,2,2,3,2,9,2,3,8,8,1,1,1,1,1,6,32,13,32,22,2
559,1,5,1,2641732,1227743,48,8,10,2,3,1,8,5,9,1,6,8,3,1,2,2,2,2,12,11,22,12,32
560,1,18,1,2664625,1193861,26,3,90,2,-99,3,6,7,4,9,3,4,2,2,1,1,32,6,3,13,12,3,12
561,2,4,2,2633666,1199111,81,21,43,3,3,1,3,0,2,3,9,7,1,2,1,2,11,9,2,13,13,22,1
562,2,13,3,2647676,1168675,76,0,10,1,4,1,4,0,9,2,9,5,2,2,1,2,11,6,12,2,22,13,32
563,2,9,1,2678947,1199003,37,50,50,3,1,1,5,6,9,1,4,2,2,1,1,1,1,9,1,11,13,1,2
564,1,10,2,2638350,1189281,16,21,84,1,1,1,3,4,8,4,6,7,2,1,2,1,3,5,3,22,12,22,13
565,2,9,3,2642531,1199870,53,0,42,4,4,2,3,8,0,4,3,3,2,2,1,1,2,3,3,11,1,12,12
566,1,6,1,2601889,1199651,68,43,95,4,2,1,8,4,2,5,8,8,3,2,1,2,12,8,32,13,12,3,22
567,2,14,3,2600166,1172258,87,0,4,4,4,2,0,0,4,2,9,1,3,1,1,1,22,7,32,12,3,1,11
568,1,16,1,2670901,1230645,61,55,97,4,1,2,2,8,7,7,1,3,3,2,2,1,12,4,32,12,11,3,3
569,1,2,1,2699787,1181942,26,78,51,2,5,1,6,6,3,2,0,1,2,1,2,2,32,9,3,13,22,1,11
570,2,18,1,2629258,1214557,43,27,56,4,5,2,0,4,2,2,6,7,1,1,1,1,2,9,11,13,3,3,1
571,1,18,1,2681519,1235176,21,6,62,3,-99,1,5,9,8,3,5,8,1,2,2,2,11,6,13,32,12,12,3
572,1,19,1,2642481,1196659,57,89,63,2,2,2,6,3,9,4,2,3,3,2,2,1,2,5,1,13,11,32,2
573,2,18,2,2646903,1239202,41,100,2,1,-99,2,4,3,9,0,0,4,3,1,2,2,3,0,22,2,32,32,11
574,2,7,3,2622347,1163977,85,0,92,4,1,3,8,4,6,1,0,5,3,1,1,2,32,3,2,11,1,32,11
575,1,12,1,2660421,1183522,51,22,52,4,-99,2,1,7,5,0,1,4,3,1,2,2,2,4,11,1,32,32,11
576,1,7,1,2624459,1228271,56,3,94,3,2,1,9,0,9,7,7,8,2,1,1,2,32,3,11,11,2,13,32
577,2,9,1,2643623,1249623,34,61,51,4,3,1,4,6,6,9,3,7,2,1,1,2,12,0,3,3,13,12,22
578,1,9,1,2662143,1207672,75,89,98,3,-99,2,7,6,4,8,4,4,2,2,2,2,11,1,3,32,11,1,2
579,2,6,2,2633101,1172823,15,38,9,1,2,1,4,2,8,2,5,6,1,1,2,2,32,2,1,32,1,13,13
580,2,11,3,2682160,1193894,77,0,85,3,2,3,3,4,2,2,2,3,3,2,2,1,2,6,11,2,11,22,11
581,2,7,2,2631186,1208097,83,41,51,1,-99,3,7,5,9,7,0,4,3,2,2,2,1,3,32,13,32,13,22
582,1,17,1,2622804,1183657,34,93,68,1,2,3,5,3,9,9,3,7,3,2,1,1,12,0,32,2,2,11,13
583,2,15,1,2678083,1232597,59,71,66,4,2,1,7,0,2,1,6,5,3,1,1,2,32,1,3,11,1,22,32
584,1,9,2,2625402,1248940,35,75,64,1,1,3,3,9,8,6,8,5,3,1,1,1,2,0,11,1,3,2,3
585,2,1,1,2632077,1180501,62,20,2,2,3,1,5,3,9,0,4,6,2,1,2,1,32,2,12,12,22,1,32
586,2,17,3,2654041,1179465,68,0,64,2,3,2,9,2,9,5,3,6,3,1,2,1,3,7,13,11,12,13,2
587,1,10,2,2602566,1191608,53,73,41,2,5,3,6,6,8,0,1,8,1,2,1,2,13,1,1,12,1,22,3
588,2,17,1,2607198,1204770,27,59,42,2,2,3,6,8,7,0,5,3,2,1,1,1,11,7,22,3,3,13,13
589,2,9,3,2683522,1162320,31,0,88,3,1,2,4,0,7,6,9,3,2,2,2,1,2,1,13,32,22,32,13
590,2,8,3,2622572,1237284,10,0,64,4,5,1,3,1,9,4,0,6,1,2,1,1,22,5,2,1,11,1,32
591,1,13,1,2698521,1169853,24,86,91,4,5,2,3,1,7,9,9,7,3,1,2,2,12,4,13,3,11,1,22
592,1,1,3,2649684,1185030,59,0,96,4,5,1,9,2,5,8,4,0,1,1,1,1,12,8,22,2,12,13,22
593,1,4,3,2665018,1152566,12,0,56,4,3,2,0,6,0,1,5,6,2,1,2,1,11,9,32,1,32,1,2
594,2,9,1,2618664,1166303,64,12,62,4,5,2,4,8,6,1,8,8,2,2,2,1,11,5,32,3,32,11,11
595,2,12,3,2695328,1236080,10,0,4,2,4,3,8,4,3,2,2,4,1,1,1,2,13,6,11,13,12,1,12
596,2,5,2,2686259,1185771,29,20,42,4,5,1,2,9,5,2,5,4,3,2,1,1,13,3,2,12,2,3,12
597,2,17,1,2646074,1238466,34,9,94,4,5,3,9,9,2,2,2,4,2,1,2,2,2,1,12,13,12,22,2
598,1,12,3,2639783,1230697,63,0,97,2,4,1,3,2,5,6,0,4,1,2,2,2,2,2,3,13,32,13,1
599,2,9,2,2660857,1212207,41,91,85,1,5,1,7,3,4,9,4,3,3,2,2,2,12,6,13,32,3,13,2
600,1,12,2,2614323,1156189,17,46,56,3,-99,2,3,5,7,8,4,5,1,2,2,2,13,2,2,32,22,3,11
601,1,14,1,2645211,1221120,37,68,4,4,1,3,2,9,4,1,9,0,2,2,2,1,13,5,3,11,12,11,3
602,2,13,3,2696925,1207786,27,0,58,4,1,2,5,4,7,9,7,3,2,1,2,2,11,1,13,1,1,1,22
603,2,1,3,2654015,1210619,83,0,2,1,-99,1,7,5,4,3,5,4,3,1,1,2,2,6,12,3,12,3,1
604,1,17,1,2632894,1213792,16,38,66,2,-99,3,4,3,9,1,4,1,2,1,2,1,1,2,11,32,12,22,12
605,1,13,3,2609008,1215680,84,0,11,4,1,3,2,7,5,6,9,7,3,2,2,1,11,4,32,2,3,13,11
606,2,5,1,2602193,1161389,58,93,87,1,5,3,8,4,4,1,7,5,3,2,1,1,22,0,22,22,2,11,11
607,2,9,2,2601200,1207591,11,61,47,3,2,3,3,0,7,0,9,5,2,2,1,2,1,5,1,11,1,22,1
608,2,8,3,2613225,1244092,33,0,49,3,3,2,1,1,4,4,7,2,2,1,1,1,1,6,2,12,2,1,2
609,1,18,1,2632752,1226012,36,62,4,1,1,2,1,2,0,8,4,6,1,2,2,2,11,5,22,32,22,2,11
610,2,9,3,2618581,1222528,49,0,88,4,4,2,2,2,5,0,2,3,3,2,2,2,32,0,12,2,2,11,22
611,1,1,3,2630361,1233408,82,0,12,1,3,1,3,7,6,3,9,7,3,2,2,1,2,2,2,32,13,1,3
612,2,11,1,2656702,1240934,22,40,84,1,5,1,2,2,9,8,3,8,2,1,2,1,13,9,1,1,12,3,11
613,2,1,2,2644482,1215097,60,76,5,3,5,2,3,0,0,9,9,1,1,2,2,1,12,9,13,32,32,12,22
614,2,10,1,2661965,1227303,89,17,56,3,3,1,7,0,4,1,4,5,3,1,1,2,22,2,1,1,12,1,3
615,1,10,3,2654030,1152884,28,0,13,3,5,3,9,6,9,3,1,1,3,2,2,2,22,9,22,22,32,32,32
616,1,10,2,2623337,1205761,68,88,94,4,5,1,0,2,2,4,8,7,3,2,2,2,12,6,1,1,3,22,11
617,1,3,1,2618694,1165382,80,95,10,2,2,1,0,2,1,6,2,5,3,1,2,1,2,3,22,3,22,2,13
618,2,9,2,2697334,1235629,58,77,42,1,1,2,2,0,0,1,8,9,1,1,1,1,32,9,32,12,32,32,22
619,1,4,1,2683735,1159096,65,93,60,4,3,2,6,2,3,8,5,5,1,2,2,1,2,3,2,22,32,3,11
620,1,11,2,2618446,1232632,13,32,53,2,5,2,7,1,7,5,6,8,1,1,2,2,11,7,22,22,3,22,32
621,1,15,2,2655241,1161023,83,38,7,1,5,1,3,6,4,1,3,7,1,2,1,1,2,6,11,13,22,22,13
622,1,17,1,2650244,1164836,55,99,8,2,1,1,2,1,3,8,9,5,1,1,1,2,3,6,11,1,3,13,2
623,1,3,1,2682728,1178697,55,76,43,4,3,3,3,4,0,6,5,6,1,2,1,1,22,9,12,2,1,32,32
624,2,6,1,2671742,1185965,53,94,3,3,1,2,8,3,6,7,5,9,1,2,1,1,32,8,22,11,2,2,1
625,2,4,3,2675504,1189131,59,0,69,3,1,3,0,1,4,8,2,7,3,1,2,2,1,2,12,12,32,11,32
626,2,5,3,2684196,1177089,33,0,43,4,5,3,4,2,6,4,8,8,1,1,2,2,12,9,3,22,2,13,1
627,1,2,1,2634343,1178653,76,33,88,3,4,2,7,1,8,6,0,5,2,2,1,1,32,0,2,13,2,22,32
628,1,11,2,2699551,1177244,60,78,88,4,-99,2,7,4,4,3,8,5,2,1,2,1,12,9,12,32,3,22,12
629,2,19,1,2685470,1191688,49,42,2,4,4,3,8,3,1,9,6,1,1,2,1,2,32,1,11,32,12,12,11
630,1,5,3,2633483,1221982,76,0,62,3,-99,3,4,7,2,2,4,0,3,1,1,2,22,8,3,3,13,32,22
631,2,13,3,2698537,1166027,46,0,4,4,3,3,8,8,8,2,0,5,1,1,1,2,13,6,3,2,12,13,22
632,2,14,1,2630194,1230791,48,16,63,2,1,1,4,8,1,5,4,8,3,1,1,1,11,9,22,12,3,11,13
633,1,9,3,2638746,1151701,84,0,35,3,3,3,9,9,3,9,9,1,2,1,1,2,3,4,32,13,22,22,2
634,1,10,3,2686364,1216811,27,0,84,2,4,1,6,0,8,8,1,2,1,1,1,2,22,9,12,22,3,12,12
635,1,10,2,2627872,1232849,51,9,43,3,-99,2,1,5,7,5,5,5,3,2,1,2,32,3,32,3,3,1,13
636,1,3,1,2656048,1229077,28,69,42,2,4,3,2,3,5,5,5,7,1,2,2,2,1,8,1,11,32,32,2
637,1,2,2,2663308,1177413,21,51,10,1,3,1,9,7,8,2,1,6,1,2,2,2,1,9,13,32,32,22,22
638,1,5,1,2636992,1165498,35,32,11,1,2,2,0,3,2,2,0,4,3,1,1,1,32,2,12,13,32,1,32
639,1,16,3,2648730,1238476,12,0,97,4,3,3,7,2,1,1,5,4,2,1,2,1,1,9,22,1,13,11,12
640,1,17,2,2699789,1225890,67,21,41,1,3,1,4,6,0,0,5,2,2,2,1,1,13,8,32,1,32,1,13
641,1,12,3,2620222,1186491,15,0,52,3,5,3,1,8,5,8,2,7,1,1,1,1,3,0,2,11,32,12,3
642,1,4,1,2644865,1150164,87,53,52,4,4,2,4,3,5,4,0,5,3,1,1,1,22,1,32,3,2,12,12
643,2,16,3,2616589,1170238,25,0,97,4,4,2,9,5,6,0,0,6,1,1,1,1,22,3,32,1,1,11,1
644,2,5,1,2664552,1226248,53,45,97,4,3,3,1,3,4,3,9,9,2,2,2,1,3,7,13,1,2,3,32
645,1,3,3,2651257,1186295,18,0,58,3,4,2,3,0,7,5,0,1,3,2,1,1,3,9,13,22,13,11,3
646,2,12,1,2611344,1171906,40,75,87,2,5,3,2,9,4,2,0,1,1,1,2,2,13,0,13,11,32,3,32
647,2,18,3,2663853,1192907,49,0,10,4,5,3,1,0,3,4,9,8,3,1,1,1,32,3,3,3,1,11,12
648,2,6,1,2625218,1156191,15,74,90,2,1,3,8,5,3,3,1,0,3,1,1,2,12,8,13,12,12,1,3
649,1,16,1,2606494,1221796,69,46,87,3,4,2,3,2,2,8,4,7,2,2,1,1,22,9,2,3,22,32,22
650,1,5,3,2657282,1150548,63,0,85,3,4,3,0,5,9,0,6,7,2,1,2,1,1,2,11,13,22,12,13
651,2,4,1,2634839,1186182,27,9,85,2,1,3,3,3,2,7,3,5,2,1,1,2,12,1,32,22,12,1,3
652,2,7,1,2674891,1159137,72,42,46,1,5,1,3,1,6,4,3,6,3,2,1,1,2,5,32,3,1,11,1
653,1,7,2,2630148,1178659,12,53,84,2,-99,2,6,9,2,0,8,5,3,2,2,2,2,1,22,12,13,1,32
654,1,15,1,2631208,1211853,48,29,41,4,1,2,2,2,8,6,6,5,2,2,1,2,32,2,2,22,2,22,1
655,2,9,3,2603322,1154058,36,0,50,1,5,3,6,3,4,1,6,8,2,2,2,1,1,6,2,32,3,11,32
656,1,13,2,2682494,1221009,31,13,3,3,1,1,9,9,8,9,4,3,3,2,1,1,12,7,32,3,32,12,11
657,1,18,1,2667286,1178754,33,29,67,2,-99,2,9,0,5,3,4,5,3,1,2,1,3,2,13,11,12,1,1
658,1,6,2,2601068,1235635,38,97,61,1,-99,1,4,4,3,6,6,9,3,2,1,1,1,2,22,12,22,22,12
659,1,8,3,2673768,1157024,74,0,2,3,4,2,4,4,8,2,1,8,3,2,2,2,32,7,12,1,1,32,32
660,1,13,2,2668297,1231504,31,8,64,4,5,1,3,0,3,9,6,0,3,1,1,2,2,8,22,12,2,3,3
661,2,17,3,2658040,1174101,67,0,5,1,5,1,9,6,8,2,0,6,2,1,1,2,2,8,3,11,12,2,22
662,1,3,3,2655109,1234305,58,0,69,2,-99,2,5,6,3,3,4,1,1,2,1,2,1,9,11,2,13,22,3
663,2,17,3,2669942,1188093,82,0,94,3,1,1,4,2,7,4,8,1,1,1,1,2,2,4,32,12,3,13,22
664,2,9,1,2623118,1243630,61,96,82,2,3,2,9,1,2,6,6,7,2,1,1,1,3,2,12,1,11,11,13
